name,url,bio,field
The Abdul Latif Jameel Poverty Action Lab (J-PAL),https://www.povertyactionlab.org/,"J-PAL aims to reduce global poverty by ensuring that policy is informed by scientific evidence. It focuses on research, policy outreach, and training.",Economics
Blueprint Labs,https://blueprintlabs.mit.edu/,"Blueprint Labs utilizes economics and data to analyze the impact of policy decisions, focusing on education, healthcare, and the workforce.",Economics
Centre for Economic Performance (CEP),http://cep.lse.ac.uk/,"CEP at the London School of Economics specializes in researching the determinants of economic performance at the company, national, and global levels.",Economics
Berkeley Economic Analysis & Policy Group,https://www.econ.berkeley.edu/research/eap,This group at UC Berkeley focuses on empirical and theoretical analysis in various economic policy areas.,Economics
Stanford Institute for Economic Policy Research (SIEPR),https://siepr.stanford.edu/,SIEPR aims to influence economic policy through research and scholarly debate on major economic policy issues.,Economics
Harvard Economic Research,https://economics.harvard.edu/,"Harvard's economic research covers a broad spectrum of topics, with a focus on developing a deep understanding of economic phenomena.",Economics
Oxford Economics Department,https://www.economics.ox.ac.uk/,"Oxford's Economics Department is dedicated to excellence in research and education, with a strong focus on economic theory and its application.",Economics
MIT Computer Science and Artificial Intelligence Laboratory (CSAIL),https://www.csail.mit.edu/,"CSAIL at MIT is focused on innovative research in computer science, particularly in AI, systems, theory, and robotics.",Computer Science
Stanford Artificial Intelligence Laboratory (SAIL),https://ai.stanford.edu/,"SAIL is dedicated to the study and development of AI and its applications, aiming to improve human life through advancements in AI.",Computer Science
UC Berkeley Artificial Intelligence Research Lab (BAIR),https://bair.berkeley.edu/,"BAIR conducts cutting-edge research in AI, machine learning, robotics, and related fields, contributing significantly to the advancement of these technologies.",Computer Science
Carnegie Mellon Robotics Institute,https://www.ri.cmu.edu/,"This institute at Carnegie Mellon University is a leading center for robotics research, working on innovative solutions in automation, robotics, and AI.",Computer Science
Oxford Robotics Institute,https://ori.ox.ac.uk/,"The Oxford Robotics Institute focuses on machine learning and robotics, aiming to develop new technologies for autonomous systems.",Computer Science
Max Planck Institute for Informatics,https://www.mpi-inf.mpg.de/,"This German institute is renowned for its research in informatics, including algorithms, computational biology, and computer graphics.",Computer Science
ETH Zurich Institute for Machine Learning,https://www.ethz.ch/en.html,"ETH Zurich's Machine Learning Institute focuses on the development and understanding of machine learning and AI algorithms, with applications across various domains.",Computer Science
Broad Institute of MIT and Harvard,https://www.broadinstitute.org/,"The Broad Institute is a collaboration between MIT and Harvard, focusing on the use of genomics to improve human health.",Biology
Whitehead Institute for Biomedical Research,https://wi.mit.edu/,"Affiliated with MIT, the Whitehead Institute conducts research in genetics, cancer, stem cells, and infectious diseases.",Biology
"The Sainsbury Laboratory, University of Cambridge",https://www.slcu.cam.ac.uk/,This laboratory specializes in plant development and computational modeling to understand plant growth and development.,Biology
European Molecular Biology Laboratory (EMBL),https://www.embl.org/,"EMBL is an intergovernmental organization focused on research in molecular biology, with various locations across Europe.",Biology
Max Planck Institute for Developmental Biology,https://www.eb.tuebingen.mpg.de/,This institute in Germany focuses on the molecular mechanisms of organism development and evolution.,Biology
The Rockefeller University,https://www.rockefeller.edu/,"Rockefeller University is a leading research institution in the US, known for its work in molecular biology, genetics, and neuroscience.",Biology
Cold Spring Harbor Laboratory,https://www.cshl.edu/,"CSHL is a private research institution specializing in cancer, neuroscience, plant biology, genomics, and quantitative biology.",Biology
Francis Crick Institute,https://www.crick.ac.uk/,"Located in London, the Crick Institute conducts research in biology to understand why disease develops and to find new ways to treat, diagnose and prevent illnesses.",Biology
Weizmann Institute of Science,https://www.weizmann.ac.il/,This institute in Israel is known for its multidisciplinary research in biology and other natural sciences.,Biology
Salk Institute for Biological Studies,https://www.salk.edu/,"The Salk Institute in California focuses on research in cancer, neuroscience, aging, and plant biology.",Biology
Reuters Institute for the Study of Journalism,https://reutersinstitute.politics.ox.ac.uk/,"Located at the University of Oxford, this institute aims to explore the future of journalism worldwide through debate, research, and leadership development.",Journalism
Tow Center for Digital Journalism,https://towcenter.columbia.edu/,"Based at Columbia University, the Tow Center explores how the digital era is affecting journalism and its relationship with audiences, through research and experimentation.",Journalism
MIT Media Lab Journalism Group,https://www.media.mit.edu/groups/journalism/overview/,"This group at MIT Media Lab focuses on the intersection of technology and journalism, experimenting with new methods of news production and distribution.",Journalism
Berkeley Center for New Media,http://bcnm.berkeley.edu/,"The Berkeley Center for New Media at UC Berkeley integrates technology, art, and culture, focusing on research and critical theory in new media, including journalism.",Journalism
Stanford Computational Journalism Lab,https://cjlab.stanford.edu/,This lab at Stanford University focuses on leveraging computational methods to evolve the practices of investigative journalism and storytelling.,Journalism
